native,classified_errors,error_counts
Chinese (Mandarin),"[('Verb Error', 'intereted', 'VERB', 'interested', 'ADJ'), ('Verb Error', 'like', 'AUX', 'like', 'VERB'), ('Verb Error', 'make', 'VERB', 'to', 'PART'), ('Verb Error', 'some', 'DET', 'make', 'VERB'), ('Noun Error', 'friends', 'NOUN', 'some', 'DET'), ('Noun Error', 'and', 'CCONJ', 'friends', 'NOUN'), ('Verb Error', 'practise', 'VERB', 'and', 'CCONJ'), ('Verb Error', 'my', 'PRON', 'practise', 'VERB'), ('Pronoun Error', 'English', 'PROPN', 'my', 'PRON'), ('Other Error', '.', 'PUNCT', 'English', 'PROPN'), ('Other Error', 'Maybe', 'ADV', '.', 'PUNCT'), ('Other Error', 'a', 'DET', 'Maybe', 'ADV'), ('Adjective Error', 'little', 'ADJ', 'a', 'DET'), ('Adjective Error', 'if', 'SCONJ', 'French', 'ADJ'), ('Adjective Error', 'possible', 'ADJ', 'if', 'SCONJ'), ('Adjective Error', '.....', 'PUNCT', 'possible', 'ADJ'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Pronoun Error', ""'m"", 'AUX', 'I', 'PRON'), ('Adjective Error', 'weak', 'ADJ', ""'m"", 'AUX'), ('Adjective Error', 'in', 'ADP', 'weak', 'ADJ'), ('Preposition Error', 'it', 'PRON', 'in', 'ADP'), ('Pronoun Error', '.', 'PUNCT', 'it', 'PRON'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Verb Error', 'love', 'VERB', 'I', 'PRON'), ('Verb Error', 'and', 'CCONJ', 'drawing', 'VERB'), ('Noun Error', 'painting', 'NOUN', 'and', 'CCONJ'), ('Noun Error', '.', 'PUNCT', 'painting', 'NOUN'), ('Other Error', 'And', 'CCONJ', '.', 'PUNCT'), ('Pronoun Error', 'I', 'PRON', 'And', 'CCONJ'), ('Verb Error', 'work', 'VERB', 'I', 'PRON'), ('Verb Error', 'out', 'ADP', 'work', 'VERB'), ('Preposition Error', 'every', 'DET', 'out', 'ADP'), ('Noun Error', 'day', 'NOUN', 'every', 'DET'), ('Noun Error', '.', 'PUNCT', 'day', 'NOUN'), ('Verb Error', 'Hoping', 'VERB', '.', 'PUNCT'), ('Verb Error', 'to', 'PART', 'Hoping', 'VERB'), ('Verb Error', 'chat!Thank', 'VERB', 'to', 'PART'), ('Verb Error', 'you', 'PRON', 'chat!Thank', 'VERB'), ('Pronoun Error', '!', 'PUNCT', 'you', 'PRON')]","Counter({'Verb Error': 14, 'Pronoun Error': 7, 'Noun Error': 6, 'Adjective Error': 6, 'Other Error': 4, 'Preposition Error': 2})"
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),"[('Noun Error', 'thru', 'NOUN', 'through', 'ADP')]",Counter({'Noun Error': 1})
Chinese (Mandarin),"[('Other Error', 'not', 'PART', 'better', 'ADV'), ('Other Error', ',', 'PUNCT', 'not', 'PART'), ('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Pronoun Error', ""'m"", 'AUX', 'I', 'PRON'), ('Preposition Error', 'like', 'ADP', ""'m"", 'AUX'), ('Preposition Error', 'kinda', 'ADV', 'like', 'ADP'), ('Adjective Error', 'suck', 'ADJ', 'kinda', 'ADV'), ('Adjective Error', '.', 'PUNCT', 'suck', 'ADJ'), ('Verb Error', 'Message', 'VERB', '.', 'PUNCT'), ('Verb Error', 'me', 'PRON', 'Message', 'VERB'), ('Pronoun Error', 'if', 'SCONJ', 'me', 'PRON'), ('Pronoun Error', 'you', 'PRON', 'if', 'SCONJ'), ('Verb Error', 'wanna', 'VERB', 'you', 'PRON'), ('Verb Error', 'a', 'DET', 'have', 'VERB'), ('Noun Error', 'language', 'NOUN', 'a', 'DET'), ('Noun Error', 'with', 'ADP', 'exchange', 'NOUN'), ('Preposition Error', 'me', 'PRON', 'with', 'ADP'), ('Pronoun Error', 'or', 'CCONJ', 'me', 'PRON'), ('Other Error', 'just', 'ADV', 'or', 'CCONJ'), ('Noun Error', 'wanna', 'NOUN', 'just', 'ADV'), ('Verb Error', 'learn', 'VERB', 'wanna', 'NOUN'), ('Verb Error', 'some', 'DET', 'learn', 'VERB'), ('Adjective Error', 'new', 'ADJ', 'some', 'DET'), ('Noun Error', 'slang', 'NOUN', 'new', 'ADJ'), ('Noun Error', 'in', 'ADP', 'words', 'NOUN'), ('Preposition Error', 'Chinese', 'PROPN', 'in', 'ADP'), ('Other Error', '.', 'PUNCT', 'Chinese', 'PROPN')]","Counter({'Verb Error': 6, 'Pronoun Error': 5, 'Noun Error': 5, 'Other Error': 4, 'Preposition Error': 4, 'Adjective Error': 3})"
Chinese (Mandarin),"[('Pronoun Error', 'i', 'PRON', ',', 'PUNCT'), ('Pronoun Error', ""'ll"", 'AUX', 'I', 'PRON'), ('Verb Error', 'do', 'VERB', ""'ll"", 'AUX'), ('Verb Error', 'what', 'PRON', 'do', 'VERB'), ('Pronoun Error', 'can', 'AUX', 'I', 'PRON'), ('Other Error', 'to', 'PART', 'can', 'AUX'), ('Verb Error', 'help', 'VERB', 'to', 'PART'), ('Verb Error', 'you', 'PRON', 'help', 'VERB'), ('Preposition Error', 'out', 'ADP', 'you', 'PRON'), ('Preposition Error', '.', 'PUNCT', 'out', 'ADP')]","Counter({'Verb Error': 4, 'Pronoun Error': 3, 'Preposition Error': 2, 'Other Error': 1})"
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),"[('Noun Error', ""I'm"", 'NOUN', 'I', 'PRON'), ('Verb Error', 'looking', 'VERB', ""'m"", 'AUX'), ('Verb Error', 'for', 'ADP', 'looking', 'VERB'), ('Preposition Error', 'a', 'DET', 'for', 'ADP'), ('Noun Error', 'language', 'NOUN', 'a', 'DET'), ('Noun Error', 'that', 'PRON', 'partner', 'NOUN'), ('Pronoun Error', 'can', 'AUX', 'that', 'PRON'), ('Verb Error', 'practice', 'VERB', 'can', 'AUX'), ('Verb Error', 'english', 'ADJ', 'practice', 'VERB'), ('Noun Error', 'conversation', 'NOUN', 'english', 'ADJ'), ('Noun Error', '.', 'PUNCT', 'conversation', 'NOUN'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Pronoun Error', 'can', 'AUX', 'I', 'PRON'), ('Verb Error', 'teach', 'VERB', 'can', 'AUX')]","Counter({'Noun Error': 5, 'Verb Error': 5, 'Pronoun Error': 3, 'Preposition Error': 1})"
Chinese (Mandarin),"[('Noun Error', 'Tour', 'PROPN', 'tour', 'NOUN'), ('Preposition Error', 'for', 'ADP', 'because', 'SCONJ'), ('Noun Error', 'lacking', 'NOUN', 'of', 'ADP'), ('Noun Error', 'of', 'ADP', 'lack', 'NOUN'), ('Verb Error', 'practicing', 'VERB', 'of', 'ADP'), ('Noun Error', '.', 'PUNCT', 'practice', 'NOUN'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Pronoun Error', ""'m"", 'AUX', 'I', 'PRON'), ('Verb Error', 'looking', 'VERB', ""'m"", 'AUX'), ('Verb Error', 'for', 'ADP', 'looking', 'VERB'), ('Preposition Error', 'a', 'DET', 'for', 'ADP'), ('Noun Error', 'person', 'NOUN', 'a', 'DET'), ('Noun Error', 'willing', 'ADJ', 'person', 'NOUN'), ('Adjective Error', 'to', 'PART', 'willing', 'ADJ'), ('Other Error', 'be', 'AUX', 'to', 'PART'), ('Pronoun Error', 'my', 'PRON', 'be', 'AUX'), ('Noun Error', 'language', 'NOUN', 'my', 'PRON'), ('Noun Error', ',', 'PUNCT', 'partner', 'NOUN'), ('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Verb Error', 'have', 'VERB', 'I', 'PRON'), ('Verb Error', 'enough', 'ADJ', 'have', 'VERB'), ('Noun Error', 'knowledge', 'NOUN', 'enough', 'ADJ'), ('Noun Error', 'and', 'CCONJ', 'knowledge', 'NOUN'), ('Noun Error', 'experinces', 'NOUN', 'and', 'CCONJ'), ('Noun Error', 'to', 'PART', 'experience', 'NOUN'), ('Verb Error', 'teach', 'VERB', 'to', 'PART'), ('Verb Error', 'you', 'PRON', 'teach', 'VERB'), ('Pronoun Error', 'Manderine', 'PROPN', 'you', 'PRON'), ('Preposition Error', 'in', 'ADP', 'Manderine', 'PROPN'), ('Noun Error', 'return', 'NOUN', 'in', 'ADP'), ('Noun Error', ',', 'PUNCT', 'return', 'NOUN')]","Counter({'Noun Error': 14, 'Verb Error': 7, 'Pronoun Error': 5, 'Preposition Error': 3, 'Adjective Error': 1, 'Other Error': 1})"
Chinese (Mandarin),"[('Noun Error', 'mandarin', 'NOUN', 'Mandarin', 'PROPN')]",Counter({'Noun Error': 1})
Chinese (Mandarin),"[('Pronoun Error', 'English', 'PROPN', 'it', 'PRON'), ('Verb Error', 'to', 'PART', 'improve', 'VERB'), ('Verb Error', 'improve', 'VERB', 'my', 'PRON'), ('Adjective Error', 'my', 'PRON', 'oral', 'ADJ'), ('Adjective Error', 'oral', 'ADJ', 'English', 'PROPN'), ('Other Error', 'English', 'PROPN', '.', 'PUNCT'), ('Other Error', '.', 'PUNCT', 'If', 'SCONJ'), ('Pronoun Error', 'If', 'SCONJ', 'you', 'PRON'), ('Verb Error', 'you', 'PRON', 'want', 'VERB'), ('Verb Error', 'want', 'VERB', 'to', 'PART'), ('Verb Error', 'to', 'PART', 'learn', 'VERB'), ('Verb Error', 'learn', 'VERB', 'Chinese', 'PROPN'), ('Other Error', 'Chinese', 'PROPN', ',', 'PUNCT'), ('Pronoun Error', ',', 'PUNCT', 'I', 'PRON'), ('Pronoun Error', 'I', 'PRON', 'am', 'AUX'), ('Pronoun Error', 'am', 'AUX', 'your', 'PRON'), ('Adjective Error', 'Your', 'PRON', 'best', 'ADJ'), ('Noun Error', 'best', 'ADJ', 'choice', 'NOUN'), ('Noun Error', 'choice', 'NOUN', '.', 'PUNCT')]","Counter({'Verb Error': 6, 'Pronoun Error': 5, 'Adjective Error': 3, 'Other Error': 3, 'Noun Error': 2})"
Chinese (Mandarin),"[('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Pronoun Error', 'am', 'AUX', 'I', 'PRON'), ('Other Error', 'currently', 'ADV', 'am', 'AUX'), ('Verb Error', 'learing', 'VERB', 'currently', 'ADV'), ('Verb Error', 'English', 'PROPN', 'learning', 'VERB'), ('Other Error', 'and', 'CCONJ', 'English', 'PROPN'), ('Other Error', 'Japanese', 'PROPN', 'and', 'CCONJ'), ('Other Error', ',', 'PUNCT', 'Japanese', 'PROPN'), ('Other Error', 'and', 'CCONJ', ',', 'PUNCT'), ('Verb Error', 'looking', 'VERB', 'and', 'CCONJ'), ('Verb Error', 'forward', 'ADV', 'looking', 'VERB'), ('Verb Error', 'find', 'VERB', 'forward', 'ADV'), ('Preposition Error', 'someone', 'PRON', 'to', 'ADP'), ('Verb Error', 'to', 'PART', 'finding', 'VERB'), ('Verb Error', 'improve', 'VERB', 'someone', 'PRON'), ('Pronoun Error', 'them', 'PRON', 'to', 'PART'), ('Verb Error', '.', 'PUNCT', 'improve', 'VERB'), ('Pronoun Error', 'If', 'SCONJ', 'them', 'PRON'), ('Pronoun Error', 'you', 'PRON', '.', 'PUNCT'), ('Other Error', 'are', 'AUX', 'If', 'SCONJ'), ('Pronoun Error', 'also', 'ADV', 'you', 'PRON'), ('Adjective Error', 'interested', 'ADJ', 'are', 'AUX'), ('Preposition Error', 'in', 'ADP', 'also', 'ADV'), ('Verb Error', 'learning', 'VERB', 'interested', 'ADJ'), ('Preposition Error', 'Chinese', 'PROPN', 'in', 'ADP'), ('Verb Error', ',', 'PUNCT', 'learning', 'VERB'), ('Verb Error', 'feel', 'VERB', 'Chinese', 'PROPN'), ('Adjective Error', 'free', 'ADJ', ',', 'PUNCT'), ('Verb Error', 'contact', 'NOUN', 'feel', 'VERB'), ('Adjective Error', 'me', 'PRON', 'free', 'ADJ'), ('Other Error', '!', 'PUNCT', 'to', 'PART')]","Counter({'Verb Error': 12, 'Other Error': 7, 'Pronoun Error': 6, 'Preposition Error': 3, 'Adjective Error': 3})"
Chinese (Mandarin),"[('Other Error', 'no', 'ADV', ""'m"", 'AUX'), ('Preposition Error', 'in', 'ADP', 'longer', 'ADV'), ('Preposition Error', 'Shanghai', 'PROPN', 'in', 'ADP'), ('Other Error', ',', 'PUNCT', 'Shanghai', 'PROPN'), ('Adjective Error', 'sorry', 'ADJ', ',', 'PUNCT'), ('Adjective Error', 'for', 'ADP', 'sorry', 'ADJ'), ('Preposition Error', 'I', 'PRON', 'for', 'ADP'), ('Pronoun Error', 'did', 'AUX', 'I', 'PRON'), ('Other Error', ""n't"", 'PART', 'did', 'AUX'), ('Verb Error', 'edit', 'VERB', ""n't"", 'PART'), ('Verb Error', 'my', 'PRON', 'edit', 'VERB'), ('Noun Error', 'description', 'NOUN', 'my', 'PRON'), ('Noun Error', 'earlier', 'ADV', 'description', 'NOUN'), ('Other Error', '.', 'PUNCT', 'earlier', 'ADV')]","Counter({'Other Error': 4, 'Preposition Error': 3, 'Adjective Error': 2, 'Verb Error': 2, 'Noun Error': 2, 'Pronoun Error': 1})"
Chinese (Mandarin),"[('Other Error', 'Campus', 'PROPN', 'the', 'DET'), ('Other Error', ',', 'PUNCT', 'Race', 'PROPN'), ('Other Error', 'being', 'AUX', ',', 'PUNCT'), ('Other Error', 'a', 'DET', 'and', 'CCONJ'), ('Noun Error', 'exchange', 'NOUN', 'was', 'AUX'), ('Noun Error', 'student', 'NOUN', 'an', 'DET'), ('Noun Error', 'to', 'ADP', 'exchange', 'NOUN'), ('Noun Error', 'China', 'PROPN', 'student', 'NOUN'), ('Other Error', 'half', 'DET', 'China', 'PROPN'), ('Preposition Error', 'yr', 'PROPN', 'for', 'ADP'), ('Other Error', '.', 'PUNCT', 'a', 'DET'), ('Adjective Error', 'I', 'PRON', 'half', 'ADJ'), ('Verb Error', 'worked', 'VERB', 'year', 'NOUN'), ('Noun Error', 'frontdesk', 'NOUN', '.', 'PUNCT'), ('Preposition Error', 'in', 'ADP', 'I', 'PRON'), ('Verb Error', 'the', 'DET', 'worked', 'VERB'), ('Pronoun Error', 'my', 'PRON', 'the', 'DET'), ('Noun Error', '1st', 'ADJ', 'hotel', 'NOUN'), ('Noun Error', 'job', 'NOUN', 'as', 'ADP'), ('Pronoun Error', ',', 'PUNCT', 'my', 'PRON'), ('Adjective Error', 'and', 'CCONJ', '1st', 'ADJ'), ('Noun Error', 'then', 'ADV', 'job', 'NOUN'), ('Verb Error', 'worked', 'VERB', ',', 'PUNCT'), ('Preposition Error', 'in', 'ADP', 'and', 'CCONJ'), ('Other Error', 'VN', 'PROPN', 'then', 'ADV'), ('Verb Error', 'for', 'ADP', 'worked', 'VERB'), ('Preposition Error', '9', 'NUM', 'in', 'ADP'), ('Noun Error', 'ms', 'NOUN', 'VN', 'PROPN'), ('Preposition Error', '.', 'PUNCT', 'for', 'ADP'), ('Other Error', 'Now', 'ADV', '9', 'NUM'), ('Noun Error', 'I', 'PRON', 'months', 'NOUN'), ('Verb Error', 'wanna', 'VERB', '.', 'PUNCT'), ('Verb Error', 'strengthen', 'VERB', 'Now', 'ADV'), ('Verb Error', 'non', 'ADJ', 'wanna', 'VERB'), ('Verb Error', '-', 'ADJ', 'strengthen', 'VERB'), ('Adjective Error', 'native', 'ADJ', 'my', 'PRON'), ('Noun Error', 'language', 'NOUN', 'non', 'ADJ'), ('Noun Error', 'skill', 'NOUN', '-', 'ADJ'), ('Adjective Error', '.', 'PUNCT', 'native', 'ADJ'), ('Noun Error', '!', 'PUNCT', 'language', 'NOUN'), ('Noun Error', '!', 'PUNCT', 'skills', 'NOUN')]","Counter({'Noun Error': 14, 'Other Error': 8, 'Verb Error': 8, 'Preposition Error': 5, 'Adjective Error': 4, 'Pronoun Error': 2})"
Chinese (Mandarin),"[('Other Error', 'both', 'CCONJ', 'Mandarin', 'PROPN'), ('Other Error', 'Chinese', 'PROPN', 'and', 'CCONJ'), ('Other Error', 'and', 'CCONJ', 'Taiwanese', 'PROPN'), ('Other Error', 'Taiwanese', 'PROPN', '.', 'PUNCT'), ('Other Error', '.', 'PUNCT', 'If', 'SCONJ'), ('Pronoun Error', 'If', 'SCONJ', 'you', 'PRON'), ('Pronoun Error', 'you', 'PRON', 'are', 'AUX'), ('Adjective Error', 'are', 'AUX', 'interested', 'ADJ'), ('Adjective Error', 'interested', 'ADJ', 'in', 'ADP'), ('Preposition Error', 'in', 'ADP', 'either', 'PRON'), ('Preposition Error', 'either', 'PRON', 'of', 'ADP'), ('Preposition Error', 'of', 'ADP', 'them', 'PRON'), ('Pronoun Error', 'them', 'PRON', ',', 'PUNCT'), ('Pronoun Error', ',', 'PUNCT', 'I', 'PRON'), ('Pronoun Error', 'I', 'PRON', 'will', 'AUX'), ('Adjective Error', 'be', 'AUX', 'willing', 'ADJ'), ('Adjective Error', 'willing', 'ADJ', 'to', 'PART'), ('Verb Error', 'to', 'PART', 'help', 'VERB'), ('Verb Error', 'help', 'VERB', 'you', 'PRON'), ('Verb Error', 'you', 'PRON', 'study', 'VERB'), ('Verb Error', 'study', 'VERB', 'them', 'PRON'), ('Pronoun Error', 'them', 'PRON', 'and', 'CCONJ'), ('Verb Error', 'and', 'CCONJ', 'share', 'VERB'), ('Verb Error', 'share', 'VERB', 'cultures', 'NOUN'), ('Noun Error', 'cultures', 'NOUN', 'in', 'ADP'), ('Preposition Error', 'in', 'ADP', 'Taiwan', 'PROPN'), ('Other Error', 'Taiwan', 'PROPN', '.', 'PUNCT')]","Counter({'Other Error': 6, 'Pronoun Error': 6, 'Verb Error': 6, 'Adjective Error': 4, 'Preposition Error': 4, 'Noun Error': 1})"
Chinese (Mandarin),"[('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Pronoun Error', 'am', 'AUX', 'I', 'PRON'), ('Adjective Error', 'Wenqian', 'ADJ', 'am', 'AUX'), ('Adjective Error', 'from', 'ADP', 'Wenqian', 'ADJ'), ('Preposition Error', 'China', 'PROPN', 'from', 'ADP'), ('Other Error', '.', 'PUNCT', 'China', 'PROPN'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Verb Error', 'want', 'VERB', 'I', 'PRON'), ('Verb Error', 'to', 'PART', 'want', 'VERB'), ('Verb Error', 'find', 'VERB', 'to', 'PART'), ('Verb Error', 'someone', 'PRON', 'find', 'VERB'), ('Pronoun Error', 'can', 'AUX', 'who', 'PRON'), ('Verb Error', 'help', 'VERB', 'can', 'AUX'), ('Verb Error', 'me', 'PRON', 'help', 'VERB'), ('Preposition Error', 'with', 'ADP', 'me', 'PRON'), ('Preposition Error', 'my', 'PRON', 'with', 'ADP'), ('Pronoun Error', 'English', 'PROPN', 'my', 'PRON'), ('Other Error', 'or', 'CCONJ', 'English', 'PROPN'), ('Verb Error', 'practice', 'VERB', 'or', 'CCONJ'), ('Verb Error', 'English', 'PROPN', 'practice', 'VERB'), ('Other Error', 'together', 'ADV', 'English', 'PROPN'), ('Other Error', '.', 'PUNCT', 'together', 'ADV'), ('Other Error', 'If', 'SCONJ', '.', 'PUNCT'), ('Pronoun Error', 'you', 'PRON', 'If', 'SCONJ'), ('Pronoun Error', ""'re"", 'AUX', 'you', 'PRON'), ('Adjective Error', 'interested', 'ADJ', ""'re"", 'AUX'), ('Adjective Error', 'in', 'ADP', 'interested', 'ADJ'), ('Preposition Error', 'Mandarin', 'PROPN', 'in', 'ADP'), ('Other Error', 'or', 'CCONJ', 'Chinese', 'PROPN'), ('Adjective Error', 'interested', 'ADJ', 'or', 'CCONJ'), ('Adjective Error', 'in', 'ADP', 'interested', 'ADJ'), ('Preposition Error', 'anything', 'PRON', 'in', 'ADP'), ('Preposition Error', 'about', 'ADP', 'anything', 'PRON'), ('Preposition Error', 'China', 'PROPN', 'about', 'ADP'), ('Pronoun Error', 'I', 'PRON', 'China', 'PROPN'), ('Other Error', ""'m"", 'AUX', ',', 'PUNCT'), ('Pronoun Error', 'always', 'ADV', 'I', 'PRON'), ('Adjective Error', 'willing', 'ADJ', ""'m"", 'AUX'), ('Other Error', 'to', 'PART', 'always', 'ADV'), ('Verb Error', 'help', 'VERB', 'willing', 'ADJ'), ('Other Error', '!', 'PUNCT', 'to', 'PART'), ('Verb Error', 'I', 'PRON', 'help', 'VERB'), ('Other Error', 'also', 'ADV', '!', 'PUNCT'), ('Verb Error', 'want', 'VERB', 'I', 'PRON'), ('Other Error', 'to', 'PART', 'also', 'ADV'), ('Pronoun Error', 'my', 'PRON', 'to', 'PART'), ('Verb Error', 'French', 'PROPN', 'improve', 'VERB'), ('Pronoun Error', '!', 'PUNCT', 'my', 'PRON'), ('Pronoun Error', 'I', 'PRON', 'French', 'PROPN'), ('Verb Error', 'like', 'VERB', '!', 'PUNCT'), ('Adjective Error', 'different', 'ADJ', 'I', 'PRON'), ('Verb Error', 'cultures', 'NOUN', 'like', 'VERB'), ('Adjective Error', ',', 'PUNCT', 'different', 'ADJ'), ('Noun Error', 'I', 'PRON', 'cultures', 'NOUN'), ('Verb Error', 'want', 'VERB', ',', 'PUNCT'), ('Pronoun Error', 'to', 'PART', 'I', 'PRON'), ('Noun Error', 'friends', 'NOUN', 'to', 'PART'), ('Verb Error', 'with', 'ADP', 'make', 'VERB'), ('Noun Error', 'different', 'ADJ', 'people', 'NOUN'), ('Noun Error', 'countries', 'NOUN', 'from', 'ADP'), ('Adjective Error', '.', 'PUNCT', 'different', 'ADJ'), ('Noun Error', 'it', 'PRON', 'countries', 'NOUN'), ('Other Error', 'will', 'AUX', '.', 'PUNCT'), ('Pronoun Error', 'be', 'AUX', 'It', 'PRON'), ('Adjective Error', 'great', 'ADJ', 'will', 'AUX'), ('Other Error', 'if', 'SCONJ', 'be', 'AUX'), ('Adjective Error', 'we', 'PRON', 'great', 'ADJ'), ('Other Error', 'can', 'AUX', 'if', 'SCONJ'), ('Verb Error', 'share', 'VERB', 'we', 'PRON'), ('Pronoun Error', 'our', 'PRON', 'can', 'AUX'), ('Verb Error', 'cultures', 'NOUN', 'share', 'VERB'), ('Pronoun Error', '!', 'PUNCT', 'our', 'PRON')]","Counter({'Verb Error': 18, 'Pronoun Error': 16, 'Other Error': 14, 'Adjective Error': 12, 'Preposition Error': 7, 'Noun Error': 5})"
Chinese (Mandarin),"[('Verb Error', 'have', 'VERB', 'have', 'AUX')]",Counter({'Verb Error': 1})
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),"[('Noun Error', 'majored', 'ADJ', 'majoring', 'NOUN')]",Counter({'Noun Error': 1})
Chinese (Mandarin),"[('Pronoun Error', 'you', 'PRON', 'how', 'SCONJ'), ('Pronoun Error', 'how', 'SCONJ', 'you', 'PRON'), ('Pronoun Error', 'you', 'PRON', ""'re"", 'AUX'), ('Adjective Error', ""'re"", 'AUX', 'special', 'ADJ'), ('Adjective Error', 'special', 'ADJ', '.', 'PUNCT'), ('Other Error', '.', 'PUNCT', 'If', 'SCONJ'), ('Pronoun Error', 'If', 'SCONJ', 'you', 'PRON'), ('Verb Error', 'you', 'PRON', 'have', 'VERB'), ('Verb Error', 'have', 'VERB', 'the', 'DET'), ('Adjective Error', 'the', 'DET', 'same', 'ADJ'), ('Noun Error', 'same', 'ADJ', 'value', 'NOUN'), ('Noun Error', 'value', 'NOUN', 'about', 'ADP'), ('Preposition Error', 'about', 'ADP', 'this', 'PRON'), ('Pronoun Error', 'this', 'PRON', ',', 'PUNCT'), ('Verb Error', ',', 'PUNCT', 'let', 'VERB'), ('Verb Error', 'let', 'VERB', ""'s"", 'PRON'), ('Verb Error', ""'s"", 'PRON', 'make', 'VERB'), ('Verb Error', 'make', 'VERB', 'friends', 'NOUN'), ('Noun Error', 'friends', 'NOUN', 'together', 'ADV'), ('Other Error', 'together', 'ADV', ',', 'PUNCT')]","Counter({'Verb Error': 6, 'Pronoun Error': 5, 'Adjective Error': 3, 'Noun Error': 3, 'Other Error': 2, 'Preposition Error': 1})"
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),[],Counter()
